TOKEN;REFTEXT
KRAZ6322;KrAZ-6322 Post.
KRAZ6322T;KrAZ-6322
KRAZ260;KrAZ-260 Post.
UAZ3151KOM;#CMD UAZ-3151 Kom
UAZ3151UKR;UAZ-3151
GAZ66KOM;#CMD GAZ-66 Kom
BRDM2T;BRDM-2
BMP1UKR;BMP-1
BMP1KUKR;BMP-1K
BMP1KSHUKR;#CMD BMP-1Ksh
ZSU234M1UA;ZSU-23-4M1 'Shilka'
T12AUKR;T-12A 100mm
MT12KUKR;MT-12K Rapira 100mm
MT12RUKR;MT-12R Ruta 100mm
MOTOPIKH;MOTOPIKHOTA
MOTOPIKH2;MOTOPIKHOTA (PKM)
MOTOPIKH3;MOTOPIKHOTA (MEDIC)
MOTOPIKH4;MOTOPIKHOTA (METIS)
MOTOPIKH5;#CMD MOTOPIKHOTA (KOM)
SCOUTUKR;#RECO2 ROZVIDNYKY
SNIPERUKR;#RECO2 SNAYPERY
58THBRIH;58th Sep. Motor-Rifle Brigade
USP_BLAH;BLAH BLAH BLAH
CtrUKR;Ukraine
